khmer,english,category,frequency,safe_remove,level,domains,token_type,notes
ខ្ញុំ,I/me (polite),pronoun,High,Yes,Moderate,all,single,Most common 1st-person.
យើង,we/us,pronoun,High,Yes,Moderate,all,single,Inclusive plural; also informal 'I'.
យើងខ្ញុំ,we (humble),pronoun,Medium,Yes,Moderate,academic|gov|news,compound,Formal first-person plural.
អញ,I (rude/intimate),pronoun,Medium,Yes,Moderate,social|youtube|fb,single,Vulgar/intimate; common online.
ឯង,you (intimate),pronoun,High,Yes,Moderate,social|youtube|fb,single,Informal 2nd-person.
មីង,auntie (also 'you' fem),pronoun,Medium,Caution,Dangerous,social,single,Kin term; may carry meaning in NER.
ពូ,uncle (also 'you' masc),pronoun,Medium,Caution,Dangerous,social,single,Kin term.
អ្នក,you (neutral),pronoun,High,Yes,Moderate,all,single,Default 2nd-person; also nominalizer 'person who'.
លោក,Mr./sir,pronoun,High,Caution,Dangerous,news|gov|academic,single,Title — important for NER.
លោកស្រី,Madam,pronoun,Medium,Caution,Dangerous,news|gov,compound,Title — important for NER.
លោកអ្នក,you (audience),pronoun,Medium,Yes,Moderate,news|gov,compound,
លោកជំទាវ,Her Excellency,pronoun,Low,Caution,Dangerous,gov,compound,Honorific — preserve for NER.
ឯកឧត្តម,His Excellency,pronoun,Low,Caution,Dangerous,gov,single,Honorific — preserve for NER.
នាង,she/Miss,pronoun,High,Yes,Moderate,all,single,
គាត់,he/she (polite 3sg),pronoun,High,Yes,Moderate,all,single,
វា,it/he (impolite),pronoun,High,Yes,Moderate,all,single,
ពួកគេ,they,pronoun,High,Yes,Moderate,all,compound,
ពួកយើង,we (group),pronoun,Medium,Yes,Moderate,all,compound,
ពួកអ្នក,you (plural),pronoun,Medium,Yes,Moderate,all,compound,
ពួកគាត់,they (polite),pronoun,Medium,Yes,Moderate,all,compound,
ខ្លួន,self,pronoun,High,Yes,Moderate,all,single,
ខ្លួនឯង,oneself,pronoun,Medium,Yes,Moderate,all,compound,
ខ្ញុំបាទ,I (humble male),pronoun,Low,Yes,Moderate,gov|formal,compound,
នាងខ្ញុំ,I (humble female),pronoun,Low,Yes,Moderate,gov|formal,compound,
ខ្ញុំម្ចាស់,I (servant),pronoun,Low,Yes,Moderate,formal,compound,
ទ្រង់,he/she (royal),pronoun,Low,Caution,Dangerous,gov|religious,single,Royal — preserve for NER.
ព្រះអង្គ,His Majesty,pronoun,Low,Caution,Dangerous,gov|religious,compound,Royal — preserve for NER.
និង,and,conjunction,High,Yes,Conservative,all,single,
ហើយនិង,and (emphatic),conjunction,Medium,Yes,Conservative,all,compound,
ឬ,or,conjunction,High,Yes,Conservative,all,single,
ឬក៏,or else,conjunction,High,Yes,Conservative,all,compound,
ប៉ុន្តែ,but,conjunction,High,Yes,Conservative,all,single,
តែ,but/only,conjunction,High,Yes,Conservative,all,single,
ឯ,as for,conjunction,Medium,Yes,Conservative,all,single,
ដូច្នេះ,therefore,conjunction,High,Yes,Conservative,all,single,
ដូច្នោះ,thus/like that,conjunction,Medium,Yes,Conservative,all,single,
ដូចជា,such as,conjunction,High,Yes,Conservative,all,compound,
ព្រោះ,because,conjunction,High,Yes,Conservative,all,single,
ព្រោះថា,because that,conjunction,High,Yes,Conservative,all,compound,
ព្រោះតែ,because of,conjunction,High,Yes,Conservative,all,compound,
ដោយសារ,because of,conjunction,High,Yes,Conservative,all,compound,
ដោយសារតែ,precisely because,conjunction,High,Yes,Conservative,all,compound,
ដោយ,by/with,conjunction,High,Yes,Conservative,all,single,
ប្រសិន,if,conjunction,Medium,Yes,Conservative,all,single,
ប្រសិនបើ,if,conjunction,High,Yes,Conservative,all,compound,
បើ,if,conjunction,High,Yes,Conservative,all,single,
បើសិន,if (formal),conjunction,Medium,Yes,Conservative,all,compound,
ទោះ,although,conjunction,Medium,Yes,Conservative,all,single,
ទោះបី,although,conjunction,High,Yes,Conservative,all,compound,
ទោះបីជា,even though,conjunction,High,Yes,Conservative,all,compound,
ទោះយ៉ាងណា,however,conjunction,Medium,Yes,Conservative,all,compound,
ដរាបណា,as long as,conjunction,Low,Yes,Conservative,all,compound,
ក៏,also/then,conjunction,High,Yes,Conservative,all,single,
ក៏ដូចជា,as well as,conjunction,High,Yes,Conservative,all,compound,
រួមទាំង,including,conjunction,High,Yes,Conservative,all,compound,
ឧទាហរណ៍,for example,conjunction,Medium,Yes,Moderate,academic|news,single,
ម្យ៉ាងទៀត,on the other hand,conjunction,Medium,Yes,Conservative,all,compound,
មួយវិញទៀត,on the other hand,conjunction,Medium,Yes,Conservative,all,compound,
ទេ,negation/question particle,particle,High,No,Dangerous,all,single,Negation marker — DO NOT remove for sentiment/legal NLP.
ណា,which/emphatic,particle,High,Yes,Moderate,all,single,
ហើយ,already/and then,particle,High,Yes,Conservative,all,single,Perfective aspect marker; mostly safe.
ដែរ,also/too,particle,High,Yes,Conservative,all,single,
ឡើយ,ever (with negation),particle,Medium,Caution,Dangerous,all,single,Reinforces negation; preserve in legal/sentiment.
សោះ,at all (intensifier),particle,Medium,Caution,Dangerous,social|fb,single,Sentiment intensifier.
ផង,also (with imperatives),particle,High,Yes,Conservative,all,single,
វិញ,back/again/instead,particle,High,Yes,Moderate,all,single,
ទៀត,more/again,particle,High,Yes,Moderate,all,single,
ឯណា,where/which,particle,Medium,Yes,Moderate,all,single,
នេះ,this,particle,High,Yes,Moderate,all,single,Demonstrative.
នោះ,that,particle,High,Yes,Moderate,all,single,Demonstrative.
នឹង,with/will (future),particle,High,Caution,Moderate,all,single,Also future tense; may matter for tense-sensitive tasks.
នៃ,of/'s (genitive),particle,High,Yes,Conservative,all,single,
របស់,of/'s (possessive),particle,High,Yes,Conservative,all,single,
ដែល,which/that (relative),particle,High,Yes,Conservative,all,single,Relative pronoun — high frequency.
ថា,that (complementizer),particle,High,Yes,Conservative,all,single,
ឲ្យ,to/let (causative),particle,High,Yes,Moderate,all,single,
អោយ,to/let (alt spelling),particle,High,Yes,Moderate,all,single,Common modern spelling variant of ឲ្យ.
យ៉ាង,manner/how,particle,High,Yes,Moderate,all,single,
យ៉ាងណា,however,particle,High,Yes,Moderate,all,compound,
យ៉ាងហោចណាស់,at least,particle,Medium,Yes,Moderate,all,compound,
មែន,indeed/really,particle,High,Caution,Dangerous,all,single,Affirmative — important for QA/sentiment.
មែនទេ,right?/isn't it?,particle,High,Yes,Moderate,all,compound,
មែនហើយ,exactly,particle,High,Yes,Moderate,all,compound,
ឬទេ,or not?,particle,Medium,Yes,Moderate,all,compound,Yes/no question marker.
ចំពោះ,regarding,particle,High,Yes,Conservative,all,single,
ដើម្បី,in order to,particle,High,Yes,Conservative,all,single,
ក្រែងលោ,lest,particle,Low,Yes,Conservative,academic,compound,
បន្ទាប់ពី,after that,particle,High,Yes,Moderate,all,compound,
មុនពេល,before,particle,High,Yes,Moderate,all,compound,
មាន,to have/there is,low_sem_verb,High,Caution,Aggressive,all,single,Existential; risky in NER/QA.
គ្មាន,not have/none,low_sem_verb,High,No,Dangerous,all,single,Negative existential — preserve.
ធ្វើ,to do/make,low_sem_verb,High,Caution,Aggressive,all,single,
បាន,PAST/can/get,low_sem_verb,High,Caution,Aggressive,all,single,Past-tense marker — risky for tense-sensitive tasks.
កំពុង,PROG (be -ing),low_sem_verb,High,Caution,Aggressive,all,single,Progressive aspect.
